,uuid,age,gender,dem_has_children,age_group,country_code,rural,dem_education_level,dem_full_time_job,normalized_job_code,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst
10,226cf850-db28-0133-c51a-0a81e8b09a82,49,Male,no,40_65,AT,urban,high,yes,2ee80cf30e2483dfe0947adc0428f8c5,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state
11,69f1f400-dc5f-0133-ad9b-0a81e8b09a82,58,Male,yes,40_65,AT,city,medium,no,,I know something about it,I would probably vote for it, stop working,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working
12,2351fbe0-de4c-0133-0d58-0a81e8b09a82,25,Female,no,14_25,AT,urban,low,yes,897ef18a9321616495831a4b4b0c1bb2,I have never heard of it,I would probably vote for it, gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
13,0f286c80-dd77-0133-7803-0a81e8b09a82,40,Male,yes,40_65,AT,rural,medium,no,,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
14,fe54f360-db27-0133-c444-0a81e8b09a82,37,Male,no,26_39,AT,country,medium,no,,I know something about it,I would probably vote for it, gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
15,960b1ce0-db01-0133-528c-0a81e8b09a82,48,Male,yes,40_65,AT,city,medium,yes,a003702c0cea282e17967772dd83de5e,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working
16,d7912480-da41-0133-5bc1-0a81e8b09a82,31,Male,yes,26_39,AT,rural,low,no,,I know something about it,I would vote against it, stop working,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
17,d468c670-da40-0133-de39-0a81e8b09a82,26,Female,no,26_39,AT,non-rural,high,no,,I know something about it,I would probably vote for it, work as a freelancer,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
18,76767d10-dd6c-0133-f56d-0a81e8b09a82,17,Female,no,14_25,AT,city,low,no,,I have never heard of it,I would probably vote against it, gain additional skills,It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
19,a96ed910-de55-0133-2582-0a81e8b09a82,34,Male,yes,26_39,AT,rural,medium,yes,04c82eae29e1c4a30eac0710b74ab276,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
20,68eace50-db46-0133-97f7-0a81e8b09a82,27,Male,yes,26_39,AT,city,low,yes,fcaf4aac737e53ad24b9f32f08b8740f,I have heard just a little about it,I would vote for it, gain additional skills,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
21,aa342b50-dcc4-0133-f797-0a81e8b09a82,40,Male,yes,40_65,AT,city,medium,yes,d71c4164c99a5f9bca773e755a72f40f,I understand it fully,I would probably vote against it, gain additional skills,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
22,638a8b80-da45-0133-e8e1-0a81e8b09a82,15,Female,no,14_25,AT,urban,no education,no,,I have heard just a little about it,I would probably vote for it, do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance
23,b1eb3870-decd-0133-d783-0a81e8b09a82,25,Female,no,14_25,AT,rural,no education,yes,3833bd699e7afe4665b595f282da0387,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working
24,1c8ea6b0-de3d-0133-605b-0a81e8b09a82,27,Male,no,26_39,AT,rural,high,yes,19e384e977796c25780d8c28b12089c4,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
25,d31a5ea0-d969-0133-79f5-0a81e8b09a82,35,Female,yes,26_39,AT,city,medium,no,,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working
26,2c1d6730-d970-0133-9161-0a81e8b09a82,48,Male,no,40_65,AT,rural,medium,yes,474b962c13632a04e42a546be4f11dbb,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
27,307ce090-daf9-0133-f4f2-0a81e8b09a82,51,Male,yes,40_65,AT,countryside,low,no,,I know something about it,I would probably vote against it, spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
28,388a2f20-db3b-0133-570e-0a81e8b09a82,28,Female,yes,26_39,AT,rural,medium,no,,I know something about it,I would probably vote against it, gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
29,12cd5b70-dbd8-0133-0395-0a81e8b09a82,40,Male,yes,40_65,AT,country,no education,yes,dac2e921c1f887d9efc4c06fa33c1397,I have never heard of it,I would vote for it, work less,None of the above,None of the above
30,684ad570-de3f-0133-705d-0a81e8b09a82,17,Male,no,14_25,AT,rural,low,no,,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
31,4c7898b0-dbdf-0133-993b-0a81e8b09a82,35,Female,no,26_39,AT,urban,high,yes,996da29c84f5eed00da40c230f4c4078,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance
32,d911df50-d8f8-0133-b5b7-0a81e8b09a82,25,Male,no,14_25,AT,city,medium,no,,I know something about it,I would probably vote against it, spend more time with my family,None of the above,It might encourage people to stop working
33,11c61a10-de3d-0133-6041-0a81e8b09a82,42,Male,no,40_65,AT,city,high,yes,fcaf4aac737e53ad24b9f32f08b8740f,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity",It increases dependence on the state
34,ab8dbf10-da1c-0133-f11e-0a81e8b09a82,37,Male,yes,26_39,AT,countryside,low,yes,d71c4164c99a5f9bca773e755a72f40f,I have heard just a little about it,I would probably vote against it, do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
35,d13a4420-dee8-0133-05e2-0a81e8b09a82,22,Female,no,14_25,AT,countryside,medium,yes,cc2b26cc436bea36bda3bdd7367c411a,I have heard just a little about it,I would probably vote against it, work less,None of the above,None of the above
36,9699d060-da5b-0133-0ae5-0a81e8b09a82,45,Female,no,40_65,AT,non-rural,high,yes,25fe195cbf915c0824fa6c44e6d0008c,I know something about it,I would probably vote for it, do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state
37,d30d1810-da47-0133-15c3-0a81e8b09a82,31,Male,no,26_39,AT,rural,low,no,,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state
38,9b532680-dc7d-0133-dcb5-0a81e8b09a82,47,Male,yes,40_65,AT,countryside,low,yes,76385cb24e831b3364279b9de5641d8f,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
39,0a8ed740-de42-0133-f3a6-0a81e8b09a82,33,Male,yes,26_39,AT,urban,high,no,,I know something about it,I would probably vote for it, gain additional skills,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward
40,8d6c0630-dc17-0133-c863-0a81e8b09a82,64,Female,yes,40_65,AT,rural,low,no,,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
41,1c4a0200-da22-0133-e797-0a81e8b09a82,26,Male,no,26_39,AT,city,medium,no,,I have heard just a little about it,I would probably vote against it, gain additional skills,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
42,896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,38,Female,no,26_39,AT,country,low,yes,16b67d7f57698455aefbc1ae1b358b50,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
43,db1bf110-d8d7-0133-8ee6-0a81e8b09a82,35,Female,yes,26_39,AT,rural,high,no,,I have heard just a little about it,I would probably vote for it, spend more time with my family,It reduces anxiety about financing basic needs,It increases dependence on the state
44,5441c1d0-d9a6-0133-55bc-0a81e8b09a82,55,Male,no,40_65,AT,urban,high,yes,b24ece3300d2f8ab34f9553e531183d6,I know something about it,I would vote against it, work less,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
45,a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,41,Male,no,40_65,AT,rural,low,no,,I know something about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
46,581cec00-da3e-0133-cc6b-0a81e8b09a82,26,Male,no,26_39,AT,urban,high,yes,5db2c8d6539f983e1ca3d7c5b939e190,I know something about it,I would probably vote for it, gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working
47,cf24ed60-da3f-0133-0034-0a81e8b09a82,48,Female,no,40_65,AT,country,high,yes,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above
48,03d9e160-da33-0133-b694-0a81e8b09a82,40,Male,yes,40_65,AT,urban,medium,yes,36675c937946c8a4fc5de7d0b4c850de,I understand it fully,I would vote against it,None of the above,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state
49,c8ab8660-daf3-0133-b467-0a81e8b09a82,64,Male,yes,40_65,AT,city,medium,no,,I understand it fully,I would probably vote for it, work less,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
50,5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,24,Male,no,14_25,AT,urban,high,no,,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
51,3f32d3c0-dbd5-0133-e559-0a81e8b09a82,15,Female,no,14_25,AT,country,low,no,,I have heard just a little about it,I would probably vote for it, spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working
52,c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,49,Male,yes,40_65,AT,country,no education,yes,847165cfda6b1dc82ae22b967da8af2f,I know something about it,I would probably vote for it, spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance
53,2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,23,Male,no,14_25,AT,rural,low,yes,2ca138b991c50dc6696238e5ad800142,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
54,4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,36,Male,no,26_39,AT,urban,medium,no,,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
55,d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,46,Female,yes,40_65,AT,rural,no education,no,,I know something about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
56,8c014b80-da49-0133-fd69-0a81e8b09a82,27,Male,no,26_39,AT,rural,low,no,,I understand it fully,I would vote for it, work less,It creates more equality of opportunity,It might encourage people to stop working
57,0e383540-dad5-0133-3be7-0a81e8b09a82,26,Male,no,26_39,AT,urban,no education,no,,I have heard just a little about it,I would vote for it, do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working
58,e75d0b00-d9b1-0133-043b-0a81e8b09a82,18,Male,no,14_25,AT,rural,medium,yes,16b67d7f57698455aefbc1ae1b358b50,I have heard just a little about it,I would vote against it, look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
59,9cd06680-da89-0133-519f-0a81e8b09a82,28,Female,no,26_39,AT,urban,low,yes,36675c937946c8a4fc5de7d0b4c850de,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
60,b3fc91b0-db3a-0133-505a-0a81e8b09a82,35,Female,yes,26_39,AT,rural,high,no,,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
61,2eea8620-dbeb-0133-3910-0a81e8b09a82,44,Female,yes,40_65,AT,country,low,yes,36675c937946c8a4fc5de7d0b4c850de,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working
62,b8616bf0-dd85-0133-dabb-0a81e8b09a82,25,Female,no,14_25,AT,country,low,yes,cc2b26cc436bea36bda3bdd7367c411a,I know something about it,I would probably vote against it, spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state
63,50e1e660-de3a-0133-589e-0a81e8b09a82,15,Male,no,14_25,AT,city,no education,no,,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
64,66867d70-de2e-0133-fd0b-0a81e8b09a82,20,Male,no,14_25,AT,non-rural,low,no,,I know something about it,I would vote for it, gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working
65,9567fd10-da36-0133-f91e-0a81e8b09a82,47,Female,yes,40_65,AT,city,no education,no,,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance
66,e55a9780-d98f-0133-f7be-0a81e8b09a82,25,Female,no,14_25,AT,non-rural,medium,no,,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance
67,5eaadd90-da5a-0133-3d70-0a81e8b09a82,65,Female,yes,40_65,AT,rural,high,yes,fcaf4aac737e53ad24b9f32f08b8740f,I understand it fully,I would probably vote for it, do more volunteering work,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state
68,ca3f65f0-d92b-0133-3959-0a81e8b09a82,46,Male,yes,40_65,AT,rural,medium,yes,049a3f3a2b5f85cb2971ba77ad66e10c,I know something about it,I would vote against it,None of the above,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working
69,c8394f00-d9f4-0133-fe97-0a81e8b09a82,17,Male,no,14_25,AT,city,low,no,,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward
70,dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,21,Male,no,14_25,AT,city,medium,yes,775190277a849cba701b306a7b374c0a,I understand it fully,I would vote for it, work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
71,437716a0-da35-0133-f2f5-0a81e8b09a82,52,Male,yes,40_65,AT,urban,low,yes,022d0e3a40aa3e29bca6851542b27842,I know something about it,I would vote for it, look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
72,8cc018b0-de4b-0133-0bcd-0a81e8b09a82,26,Male,no,26_39,AT,urban,high,yes,375017ea3a1a97f5ea676def873bb25b,I understand it fully,I would probably vote for it, do more volunteering work,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working
73,7c2e43a0-da1a-0133-acda-0a81e8b09a82,14,Male,no,14_25,AT,non-rural,low,no,,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
74,b9dbcc80-da2b-0133-481e-0a81e8b09a82,20,Female,no,14_25,AT,city,medium,no,,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
75,89977480-d9bc-0133-b906-0a81e8b09a82,27,Male,yes,26_39,AT,non-rural,no education,yes,1dd2fdc8a3981f2a1d8f0ca173952bb8,I know something about it,I would probably vote for it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward
76,11cf6080-dc70-0133-8090-0a81e8b09a82,50,Male,yes,40_65,AT,urban,medium,yes,e605336f5a43949cb6b18054fd1937f1,I have heard just a little about it,I would probably vote against it, work less,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward
77,6aa21d60-deec-0133-20b3-0a81e8b09a82,20,Male,no,14_25,AT,urban,no education,no,,I understand it fully,I would vote for it, look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
78,08159f30-dbf8-0133-74d8-0a81e8b09a82,34,Female,yes,26_39,AT,non-rural,low,yes,800b621aab5dac18f4caef621fa43a49,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
79,5f772780-dd7d-0133-5e86-0a81e8b09a82,19,Female,no,14_25,AT,urban,high,no,,I have heard just a little about it,I would probably vote against it, do more volunteering work,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
80,996a7cf0-d98b-0133-a5d7-0a81e8b09a82,18,Female,no,14_25,AT,country,high,no,,I have heard just a little about it,I would probably vote against it, look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
81,88d64de0-d9eb-0133-a46b-0a81e8b09a82,38,Female,yes,26_39,AT,rural,low,no,,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
82,d2a9a650-d964-0133-4678-0a81e8b09a82,28,Female,yes,26_39,AT,urban,medium,yes,d06dfb43c95b585a89ae556c9221b573,I know something about it,I would probably vote for it, spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | It is against the principle of linking merit and reward
83,7a3932b0-da34-0133-8caf-0a81e8b09a82,26,Female,no,26_39,AT,urban,high,no,,I have heard just a little about it,I would probably vote for it, spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state
84,54fcb0f0-da1c-0133-efb9-0a81e8b09a82,46,Male,yes,40_65,AT,rural,low,yes,a12a16280e22220f9354333f6fe1b22a,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
85,c7ec06f0-d94c-0133-0451-0a81e8b09a82,41,Male,no,40_65,AT,non-rural,low,yes,477b53ef09d37f098d5ed74f47fcbaec,I know something about it,I would probably vote against it, spend more time with my family,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
86,1ab814f0-dba0-0133-a033-0a81e8b09a82,43,Male,yes,40_65,AT,countryside,no education,yes,e2f68bf748aea2c7d2254550c0c92b23,I know something about it,I would vote for it, gain additional skills,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
87,994969a0-dca5-0133-b593-0a81e8b09a82,26,Female,yes,26_39,AT,countryside,low,no,,I understand it fully,I would vote for it, look for a different job,It creates more equality of opportunity,Only the people who need it most should get something from the state
88,5f4a8e40-dbd4-0133-e162-0a81e8b09a82,29,Female,yes,26_39,AT,non-rural,high,yes,45033f83b6e0309eca9bcd76917f15d0,I understand it fully,I would not vote, gain additional skills,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
89,fc590270-de6a-0133-72af-0a81e8b09a82,17,Male,no,14_25,AT,rural,low,no,,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
90,2152fc80-d9ae-0133-8d7e-0a81e8b09a82,23,Female,yes,14_25,AT,urban,medium,no,,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
91,1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82,36,Female,yes,26_39,AT,countryside,medium,yes,141ddda0f613da65a280521247de0e9f,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
