,Country,Job Title,Age,Quantity,Percentage
2310,Spain,Data Architect,50,1,0.0117%
2311,Spain,Data Operations Director,43,1,0.0117%
2312,Spain,Data Security Administrator,27,1,0.0117%
2313,Spain,,26,1,0.0117%
2314,Spain,Crime Data Specialist,56,1,0.0117%
2315,Spain,Database Design Analyst,45,1,0.0117%
2316,Spain,,58,1,0.0117%
2317,Spain,Data Management Associate,40,1,0.0117%
2318,Spain,Database Manager,43,1,0.0117%
2319,Spain,,55,1,0.0117%
2320,Spain,Data Processing Systems Project Planner,40,1,0.0117%
2321,Spain,,21,1,0.0117%
2322,Spain,,42,1,0.0117%
2323,Spain,,19,1,0.0117%
2324,Spain,,25,1,0.0117%
2325,Spain,Database Security Administrator,59,1,0.0117%
2326,Spain,Data Warehousing Specialist,52,1,0.0117%
2327,Spain,,22,1,0.0117%
2328,Spain,,39,1,0.0117%
2329,Spain,,50,1,0.0117%
2330,Spain,Weight in Motion Field Data Collection Technician,35,1,0.0117%
2331,Spain,,14,1,0.0117%
2332,Spain,Database Administration Manager,53,1,0.0117%
2333,Spain,Micro Computer Data Processor,44,1,0.0117%
2334,Spain,,24,1,0.0117%
2335,Spain,,43,1,0.0117%
2336,Spain,,18,1,0.0117%
2337,Spain,Database Security Expert,57,1,0.0117%
2338,Spain,Data Reduction Technician,55,1,0.0117%
2339,Spain,,42,1,0.0117%
2340,Spain,Data Management Information Technology Specialist,63,1,0.0117%
2341,Spain,Data Input Clerk,23,1,0.0117%
2342,Spain,,43,1,0.0117%
2343,Spain,Database Software Technician,62,1,0.0117%
2344,Spain,Database Development and Administration Project Manager,45,1,0.0117%
2345,Spain,,21,1,0.0117%
2346,Spain,,44,1,0.0117%
2347,Spain,Database Management System Specialist (DBMS Specialist),58,1,0.0117%
2348,Spain,Data Warehousing Engineer,33,1,0.0117%
2349,Spain,Data Warehouse Specialist,52,1,0.0117%
2350,Spain,Data Warehousing Manager,20,1,0.0117%
2351,Spain,,25,1,0.0117%
2352,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),33,1,0.0117%
2353,Spain,,46,1,0.0117%
2354,Spain,,49,1,0.0117%
2355,Spain,,29,1,0.0117%
2356,Spain,,30,1,0.0117%
2357,Spain,Database Management System Specialist (DBMS Specialist),28,1,0.0117%
2358,Spain,Data Communications Software Consultant,57,1,0.0117%
2359,Spain,Data Sciences Director,46,1,0.0117%
2360,Spain,Database Administration Associate,61,1,0.0117%
2361,Spain,Data Entry Machine Operator,45,1,0.0117%
2362,Spain,,41,1,0.0117%
2363,Spain,,32,1,0.0117%
2364,Spain,,53,1,0.0117%
2365,Spain,Data Systems Manager,57,1,0.0117%
2366,Spain,,18,1,0.0117%
2367,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),26,1,0.0117%
2368,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),50,1,0.0117%
2369,Spain,Internet Database Specialist,48,1,0.0117%
2370,Spain,,57,1,0.0117%
2371,Spain,,21,1,0.0117%
2372,Spain,,44,1,0.0117%
2373,Spain,,53,1,0.0117%
2374,Spain,,44,1,0.0117%
2375,Spain,,44,1,0.0117%
2376,Spain,Data Warehouse Specialist,40,1,0.0117%
2377,Spain,SQL Database Administrator,48,1,0.0117%
2378,Spain,,44,1,0.0117%
2379,Spain,Data Communications Software Consultant,33,1,0.0117%
2380,Spain,Director of Data Operations,35,1,0.0117%
2381,Spain,,44,1,0.0117%
2382,Spain,Database Management System Specialist (DBMS Specialist),52,1,0.0117%
2383,Spain,,43,1,0.0117%
2384,Spain,Automatic Data Processing Planner,34,1,0.0117%
2385,Spain,,36,1,0.0117%
2386,Spain,,19,1,0.0117%
2387,Spain,Clinical Data Associate,41,1,0.0117%
2388,Spain,,49,1,0.0117%
2389,Spain,,61,1,0.0117%
2390,Spain,Database Coordinator,39,1,0.0117%
2391,Spain,Database Management System Specialist (DBMS Specialist),42,1,0.0117%
2392,Spain,Database Architect,42,1,0.0117%
2393,Spain,,45,1,0.0117%
2394,Spain,Database Marketing Analyst,37,1,0.0117%
2395,Spain,,47,1,0.0117%
2396,Spain,Database Manager,40,1,0.0117%
2397,Spain,,40,1,0.0117%
2398,Spain,Automatic Data Processing Planner (ADP Planner),59,1,0.0117%
2399,Spain,Head of Information Systems and Data Processing,41,1,0.0117%
2400,Spain,Data Security Analyst,48,1,0.0117%
2401,Spain,Database Engineer,32,1,0.0117%
2402,Spain,Data Officer,43,1,0.0117%
2403,Spain,,35,1,0.0117%
2404,Spain,,55,1,0.0117%
2405,Spain,Geographic Information Systems Data Manager (GIS Data Manager),30,1,0.0117%
2406,Spain,,53,1,0.0117%
2407,Spain,Data Architect,45,1,0.0117%
2408,Spain,Database Designer,40,1,0.0117%
2409,Spain,Database Administration Associate,23,1,0.0117%
2410,Spain,Electronic Data Interchange System Developer (EDI System Developer),24,1,0.0117%
2411,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50,1,0.0117%
2412,Spain,,46,1,0.0117%
2413,Spain,,40,1,0.0117%
2414,Spain,Head of Information Systems and Data Processing,29,1,0.0117%
2415,Spain,Head of Information Systems and Data Processing,25,1,0.0117%
2416,Spain,,35,1,0.0117%
2417,Spain,,35,1,0.0117%
2418,Spain,Data Systems Manager,41,1,0.0117%
2419,Spain,,50,1,0.0117%
2420,Spain,Database Administration Manager,30,1,0.0117%
2421,Spain,,35,1,0.0117%
2422,Spain,Database Engineer,33,1,0.0117%
2423,Spain,,41,1,0.0117%
2424,Spain,,39,1,0.0117%
2425,Spain,Data Transcriber,41,1,0.0117%
2426,Spain,Database Architect,56,1,0.0117%
2427,Spain,Data Warehouse Specialist,50,1,0.0117%
2428,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),46,1,0.0117%
2429,Spain,,49,1,0.0117%
2430,Spain,Field Artillery Automated Tactical Data System Specialist,34,1,0.0117%
2431,Spain,Database Software Technician,38,1,0.0117%
2432,Spain,,43,1,0.0117%
2433,Spain,Database Tester,49,1,0.0117%
2434,Spain,Data Coordinator,60,1,0.0117%
2435,Spain,,19,1,0.0117%
2436,Spain,Data Processing Clerk,40,1,0.0117%
2437,Spain,Database Coordinator,45,1,0.0117%
2438,Spain,,19,1,0.0117%
2439,Spain,Automatic Data Processing Planner,25,1,0.0117%
2440,Spain,Head of Information Systems and Data Processing,40,1,0.0117%
2441,Spain,,32,1,0.0117%
2442,Spain,Computer or Data Processing Systems Consultant,51,1,0.0117%
2443,Spain,Data Scientist,40,1,0.0117%
2444,Spain,,37,1,0.0117%
2445,Spain,Data Processing Systems Project Planner,36,1,0.0117%
2446,Spain,,40,1,0.0117%
2447,Spain,Data Management Information Technology Specialist,37,1,0.0117%
2448,Spain,Database Management System Specialist (DBMS Specialist),38,1,0.0117%
2449,Spain,,37,1,0.0117%
2450,Spain,Database Security Administrator,55,1,0.0117%
2451,Spain,Reference Data Expert,45,1,0.0117%
2452,Spain,,25,1,0.0117%
2453,Spain,,18,1,0.0117%
2454,Spain,,51,1,0.0117%
2455,Spain,Data Communications Software Consultant,35,1,0.0117%
2456,Spain,,50,1,0.0117%
2457,Spain,Data Security Analyst,48,1,0.0117%
2458,Spain,Automatic Data Processing Planner (ADP Planner),44,1,0.0117%
2459,Spain,Database Specialist,42,1,0.0117%
2460,Spain,Flight Data Technician,36,1,0.0117%
2461,Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator),21,1,0.0117%
2462,Spain,,23,1,0.0117%
2463,Spain,Database Development and Administration Project Manager,40,1,0.0117%
2464,Spain,,50,1,0.0117%
2465,Spain,,15,1,0.0117%
2466,Spain,,21,1,0.0117%
2467,Spain,,43,1,0.0117%
2468,Spain,,52,1,0.0117%
2469,Spain,,35,1,0.0117%
2470,Spain,Data Base Design Analyst,25,1,0.0117%
2471,Spain,Data Scientist,35,1,0.0117%
2472,Spain,,44,1,0.0117%
2473,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),41,1,0.0117%
2474,Spain,,41,1,0.0117%
2475,Spain,,34,1,0.0117%
2476,Spain,,53,1,0.0117%
2477,Spain,Data Processing Manager,46,1,0.0117%
2478,Spain,,51,1,0.0117%
2479,Spain,,42,1,0.0117%
2480,Spain,,26,1,0.0117%
2481,Spain,,18,1,0.0117%
2482,Spain,,29,1,0.0117%
2483,Spain,Naval Tactical Data System--Combat Information Center Officer,42,1,0.0117%
2484,Spain,,23,1,0.0117%
2485,Spain,Data Processing Supervisor,59,1,0.0117%
2486,Spain,,45,1,0.0117%
2487,Spain,Naval Tactical Data System--Combat Information Center Officer,40,1,0.0117%
2488,Spain,,59,1,0.0117%
2489,Spain,Director of Data Operations,41,1,0.0117%
2490,Spain,,40,1,0.0117%
2491,Spain,,25,1,0.0117%
2492,Spain,Data Warehouse Specialist,23,1,0.0117%
2493,Spain,,24,1,0.0117%
2494,Spain,Database Administration Manager,43,1,0.0117%
2495,Spain,Database Engineer,36,1,0.0117%
2496,Spain,,23,1,0.0117%
2497,Spain,Database Design Analyst,44,1,0.0117%
2498,Spain,,43,1,0.0117%
2499,Spain,Data Management Associate,53,1,0.0117%
2500,Spain,,45,1,0.0117%
2501,Spain,Field Traffic Data Technician,29,1,0.0117%
2502,Spain,,36,1,0.0117%
2503,Spain,Data Modeling Specialist,47,1,0.0117%
2504,Spain,Electronic Data Processing Auditor (EDP Auditor),60,1,0.0117%
2505,Spain,,23,1,0.0117%
2506,Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)",40,1,0.0117%
2507,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),42,1,0.0117%
2508,Spain,,39,1,0.0117%
2509,Spain,,42,1,0.0117%
2510,Spain,Data Warehouse Analyst,41,1,0.0117%
2511,Spain,,51,1,0.0117%
2512,Spain,Database Administration Associate,31,1,0.0117%
2513,Spain,Data Coordinator,42,1,0.0117%
2514,Spain,,19,1,0.0117%
2515,Spain,,19,1,0.0117%
2516,Spain,Database Administration Associate,19,1,0.0117%
2517,Spain,Database Administration Manager,31,1,0.0117%
2518,Spain,,47,1,0.0117%
2519,Spain,Data Security Analyst,24,1,0.0117%
2520,Spain,Database Designer,46,1,0.0117%
2521,Spain,,41,1,0.0117%
2522,Spain,Geographic Information Systems Data Manager (GIS Data Manager),34,1,0.0117%
2523,Spain,,20,1,0.0117%
2524,Spain,Head of Information Systems and Data Processing,41,1,0.0117%
2525,Spain,Database Development and Administration Project Manager,39,1,0.0117%
2526,Spain,Data Processing Auxiliary Equipment Operator,44,1,0.0117%
2527,Spain,,34,1,0.0117%
2528,Spain,Database Management System Specialist (DBMS Specialist),39,1,0.0117%
2529,Spain,Database Software Technician,25,1,0.0117%
2530,Spain,,17,1,0.0117%
2531,Spain,Geographic Information Systems Data Manager (GIS Data Manager),28,1,0.0117%
2532,Spain,Database Security Expert,36,1,0.0117%
2533,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",25,1,0.0117%
2534,Spain,,46,1,0.0117%
2535,Spain,Database Architect,54,1,0.0117%
2536,Spain,,27,1,0.0117%
2537,Spain,Database Manager,43,1,0.0117%
2538,Spain,,39,1,0.0117%
2539,Spain,Data Processing Systems Analyst,24,1,0.0117%
2540,Spain,Database Manager,50,1,0.0117%
2541,Spain,Micro Computer Data Processor,52,1,0.0117%
2542,Spain,Data Management Information Technology Specialist,50,1,0.0117%
2543,Spain,,19,1,0.0117%
2544,Spain,Database Development and Administration Project Manager,38,1,0.0117%
2545,Spain,Database Tester,30,1,0.0117%
2546,Spain,Database Development and Administration Project Manager,40,1,0.0117%
2547,Spain,Data Recovery Planner,50,1,0.0117%
2548,Spain,Database Management System Specialist (DBMS Specialist),40,1,0.0117%
2549,Spain,,43,1,0.0117%
2550,Spain,Data Compiler,41,1,0.0117%
2551,Spain,Database Manager,40,1,0.0117%
2552,Spain,,18,1,0.0117%
2553,Spain,,57,1,0.0117%
2554,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),42,1,0.0117%
2555,Spain,Database Coordinator,26,1,0.0117%
2556,Spain,Business Database Analyst,61,1,0.0117%
2557,Spain,Field Artillery Automated Tactical Data System Specialist,41,1,0.0117%
2558,Spain,Clinical Data Abstractor,51,1,0.0117%
2559,Spain,Data Warehousing Manager,35,1,0.0117%
2560,Spain,Data Processing Manager,42,1,0.0117%
2561,Spain,,57,1,0.0117%
2562,Spain,Data Operations Director,42,1,0.0117%
2563,Spain,Data Security Analyst,49,1,0.0117%
2564,Spain,Data Storage Specialist,40,1,0.0117%
2565,Spain,,40,1,0.0117%
2566,Spain,,26,1,0.0117%
2567,Spain,Database Designer,42,1,0.0117%
2568,Spain,,40,1,0.0117%
2569,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",45,1,0.0117%
2570,Spain,Database Security Administrator,42,1,0.0117%
2571,Spain,,41,1,0.0117%
2572,Spain,Director of Data Operations,50,1,0.0117%
2573,Spain,,49,1,0.0117%
2574,Spain,Database Coordinator,41,1,0.0117%
2575,Spain,,51,1,0.0117%
2576,Spain,Data Communications Software Consultant,54,1,0.0117%
2577,Spain,,46,1,0.0117%
2578,Spain,,16,1,0.0117%
2579,Spain,,31,1,0.0117%
2580,Spain,,32,1,0.0117%
2581,Spain,,47,1,0.0117%
2582,Spain,Data Warehouse Developer,38,1,0.0117%
2583,Spain,,34,1,0.0117%
2584,Spain,,36,1,0.0117%
2585,Spain,Database Manager,53,1,0.0117%
2586,Spain,,51,1,0.0117%
2587,Spain,,25,1,0.0117%
2588,Spain,Datastage Developer,30,1,0.0117%
2589,Spain,,46,1,0.0117%
2590,Spain,,50,1,0.0117%
2591,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",19,1,0.0117%
2592,Spain,,44,1,0.0117%
2593,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),48,1,0.0117%
2594,Spain,Data Management Associate,50,1,0.0117%
2595,Spain,,63,1,0.0117%
2596,Spain,Data Analyst,37,1,0.0117%
2597,Spain,,22,1,0.0117%
2598,Spain,Data Processing Clerk,45,1,0.0117%
2599,Spain,Automatic Data Processing Planner (ADP Planner),51,1,0.0117%
2600,Spain,,53,1,0.0117%
2601,Spain,,28,1,0.0117%
2602,Spain,Flight Test Data Acquisition Technician,21,1,0.0117%
2603,Spain,,38,1,0.0117%
2604,Spain,Data Scientist,27,1,0.0117%
2605,Spain,Data Architect,52,1,0.0117%
2606,Spain,,46,1,0.0117%
2607,Spain,,29,1,0.0117%
2608,Spain,Data Sciences Director,41,1,0.0117%
2609,Spain,Database Design Analyst,28,1,0.0117%
2610,Spain,Data Administrator,35,1,0.0117%
2611,Spain,,20,1,0.0117%
2612,Spain,,41,1,0.0117%
2613,Spain,,41,1,0.0117%
2614,Spain,,32,1,0.0117%
2615,Spain,Database Architect,31,1,0.0117%
2616,Spain,Electronic Data Interchange System Developer (EDI System Developer),38,1,0.0117%
2617,Spain,,16,1,0.0117%
2618,Spain,Database Coordinator,32,1,0.0117%
2619,Spain,Data Technician,42,1,0.0117%
2620,Spain,,19,1,0.0117%
2621,Spain,,63,1,0.0117%
2622,Spain,,39,1,0.0117%
2623,Spain,,56,1,0.0117%
2624,Spain,,55,1,0.0117%
2625,Spain,Automatic Data Processing Planner (ADP Planner),59,1,0.0117%
2626,Spain,,20,1,0.0117%
2627,Spain,,50,1,0.0117%
2628,Spain,Data Coordinator,45,1,0.0117%
2629,Spain,Database Engineer,46,1,0.0117%
2630,Spain,,45,1,0.0117%
2631,Spain,Data Entry Operator,29,1,0.0117%
2632,Spain,,24,1,0.0117%
2633,Spain,,26,1,0.0117%
2634,Spain,Data Management Associate,45,1,0.0117%
2635,Spain,Database Coordinator,52,1,0.0117%
2636,Spain,Electronic Data Processing Auditor (EDP Auditor),40,1,0.0117%
2637,Spain,LiDAR Data Analyst,42,1,0.0117%
2638,Spain,,19,1,0.0117%
2639,Spain,Database Software Technician,26,1,0.0117%
2640,Spain,Data Reduction Technician,38,1,0.0117%
2641,Spain,,25,1,0.0117%
2642,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),43,1,0.0117%
2643,Spain,Data Communications Software Consultant,43,1,0.0117%
2644,Spain,,17,1,0.0117%
2645,Spain,,47,1,0.0117%
2646,Spain,Data Architect,26,1,0.0117%
2647,Spain,,28,1,0.0117%
2648,Spain,,29,1,0.0117%
2649,Spain,,29,1,0.0117%
2650,Spain,Database Architect,40,1,0.0117%
2651,Spain,,46,1,0.0117%
2652,Spain,,48,1,0.0117%
2653,Spain,,28,1,0.0117%
2654,Spain,Data Warehouse Architect,41,1,0.0117%
2655,Spain,,15,1,0.0117%
2656,Spain,Data Warehouse Analyst,35,1,0.0117%
2657,Spain,,19,1,0.0117%
2658,Spain,Data Recovery Planner,30,1,0.0117%
2659,Spain,,30,1,0.0117%
2660,Spain,Data Systems Manager,40,1,0.0117%
2661,Spain,,46,1,0.0117%
2662,Spain,,20,1,0.0117%
2663,Spain,,43,1,0.0117%
2664,Spain,Data Transcriber,48,1,0.0117%
2665,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),48,1,0.0117%
2666,Spain,,46,1,0.0117%
2667,Spain,,49,1,0.0117%
2668,Spain,,28,1,0.0117%
2669,Spain,,15,1,0.0117%
2670,Spain,,42,1,0.0117%
2671,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),43,1,0.0117%
2672,Spain,,57,1,0.0117%
2673,Spain,Data Processing Systems Project Planner,45,1,0.0117%
2674,Spain,,18,1,0.0117%
2675,Spain,,25,1,0.0117%
2676,Spain,Data Processing Systems Analyst,45,1,0.0117%
2677,Spain,Data Processing Manager,53,1,0.0117%
2678,Spain,Data Administrator,44,1,0.0117%
2679,Spain,Data Management Associate,39,1,0.0117%
2680,Spain,,35,1,0.0117%
2681,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),58,1,0.0117%
2682,Spain,Data Processing Auxiliary Equipment Operator,26,1,0.0117%
2683,Spain,,17,1,0.0117%
2684,Spain,,41,1,0.0117%
2685,Spain,,33,1,0.0117%
2686,Spain,,40,1,0.0117%
2687,Spain,Voice and Data Technician,24,1,0.0117%
2688,Spain,,36,1,0.0117%
2689,Spain,,27,1,0.0117%
2690,Spain,,24,1,0.0117%
2691,Spain,,27,1,0.0117%
2692,Spain,Data Security Analyst,51,1,0.0117%
2693,Spain,Database Coordinator,49,1,0.0117%
2694,Spain,Data Systems Manager,43,1,0.0117%
2695,Spain,Data Officer,32,1,0.0117%
2696,Spain,Data Warehousing Engineer,25,1,0.0117%
2697,Spain,Database Security Expert,55,1,0.0117%
2698,Spain,,24,1,0.0117%
2699,Spain,Data Security Analyst,45,1,0.0117%
2700,Spain,Clinical Data Manager,59,1,0.0117%
2701,Spain,Clinical Data Manager,46,1,0.0117%
2702,Spain,Data Security Administrator,48,1,0.0117%
2703,Spain,Database Coordinator,31,1,0.0117%
2704,Spain,,14,1,0.0117%
2705,Spain,Database Development and Administration Project Manager,32,1,0.0117%
2706,Spain,,32,1,0.0117%
2707,Spain,,49,1,0.0117%
2708,Spain,,41,1,0.0117%
2709,Spain,Marketing Database Analyst,30,1,0.0117%
2710,Spain,,49,1,0.0117%
2711,Spain,Database Security Administrator,36,1,0.0117%
2712,Spain,,44,1,0.0117%
2713,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),55,1,0.0117%
2714,Spain,Data Warehouse Architect,43,1,0.0117%
2715,Spain,,42,1,0.0117%
2716,Spain,,20,1,0.0117%
2717,Spain,,54,1,0.0117%
2718,Spain,,52,1,0.0117%
2719,Spain,,46,1,0.0117%
2720,Spain,Data Warehouse Analyst,36,1,0.0117%
2721,Spain,Data Miner,42,1,0.0117%
2722,Spain,Data Security Administrator,65,1,0.0117%
2723,Spain,,65,1,0.0117%
2724,Spain,Data Warehouse Specialist,35,1,0.0117%
2725,Spain,Data Security Administrator,49,1,0.0117%
2726,Spain,,44,1,0.0117%
2727,Spain,Weight in Motion Field Data Collection Technician,30,1,0.0117%
2728,Spain,,51,1,0.0117%
2729,Spain,Electronic Data Processing Auditor (EDP Auditor),35,1,0.0117%
2730,Spain,,16,1,0.0117%
2731,Spain,Data Communications Analyst,41,1,0.0117%
2732,Spain,,35,1,0.0117%
2733,Spain,,28,1,0.0117%
2734,Spain,,18,1,0.0117%
2735,Spain,Oracle Database Administrator (Oracle DBA),37,1,0.0117%
2736,Spain,Databases Computer Consultant,42,1,0.0117%
2737,Spain,,20,1,0.0117%
2738,Spain,Data Security Administrator,50,1,0.0117%
2739,Spain,,60,1,0.0117%
2740,Spain,Data Base Design Analyst,37,1,0.0117%
2741,Spain,,46,1,0.0117%
2742,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),55,1,0.0117%
2743,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50,1,0.0117%
2744,Spain,Data Processing Systems Analyst,45,1,0.0117%
2745,Spain,Data Entry Supervisor,51,1,0.0117%
2746,Spain,,24,1,0.0117%
2747,Spain,,39,1,0.0117%
2748,Spain,,35,1,0.0117%
2749,Spain,Database Administration Manager,17,1,0.0117%
2750,Spain,,48,1,0.0117%
2751,Spain,Data Processing Auditor,23,1,0.0117%
2752,Spain,Database Specialist,30,1,0.0117%
2753,Spain,,26,1,0.0117%
2754,Spain,Automatic Data Processing Planner (ADP Planner),53,1,0.0117%
2755,Spain,,43,1,0.0117%
2756,Spain,Data Processing Consultant,31,1,0.0117%
2757,Spain,Data Management Associate,42,1,0.0117%
2758,Spain,Data Communications Analyst,50,1,0.0117%
2759,Spain,,15,1,0.0117%
2760,Spain,,23,1,0.0117%
2761,Spain,,53,1,0.0117%
2762,Spain,Data Coordinator,25,1,0.0117%
2763,Spain,Data Modeling Specialist,40,1,0.0117%
2764,Spain,Database Specialist,38,1,0.0117%
2765,Spain,Database Software Technician,43,1,0.0117%
2766,Spain,,33,1,0.0117%
2767,Spain,Data Communications Analyst,40,1,0.0117%
2768,Spain,,35,1,0.0117%
2769,Spain,Flight Test Data Acquisition Technician,20,1,0.0117%
2770,Spain,Micro Computer Data Processor,59,1,0.0117%
2771,Spain,Data Security Analyst,31,1,0.0117%
2772,Spain,Automatic Data Processing Planner (ADP Planner),48,1,0.0117%
2773,Spain,,51,1,0.0117%
2774,Spain,,39,1,0.0117%
2775,Spain,Maintenance Data Analyst,40,1,0.0117%
2776,Spain,,40,1,0.0117%
2777,Spain,Automatic Data Processing Planner (ADP Planner),44,1,0.0117%
2778,Spain,Databases Computer Consultant,36,1,0.0117%
2779,Spain,,28,1,0.0117%
2780,Spain,Data Security Administrator,51,1,0.0117%
2781,Spain,Data Processing Systems Project Planner,43,1,0.0117%
2782,Spain,Database Marketing Analyst,34,1,0.0117%
2783,Spain,Data Architect,45,1,0.0117%
2784,Spain,Data Communications Software Consultant,39,1,0.0117%
2785,Spain,Data Systems Manager,40,1,0.0117%
